"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 28 05:02:24 UTC 2023","Tue Nov 28 05:04:55 UTC 2023","150293","","6. Company Account","","","","9. Review Final Review",""
"passed","Tue Nov 28 04:58:24 UTC 2023","Tue Nov 28 04:58:26 UTC 2023","2002","","6. Company Account","","","","6. Review Review Page",""
"passed","Tue Nov 28 03:04:39 UTC 2023","Tue Nov 28 03:05:01 UTC 2023","21193","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"broken","Tue Nov 28 07:09:15 UTC 2023","Tue Nov 28 07:09:15 UTC 2023","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Tue Nov 28 02:59:54 UTC 2023","Tue Nov 28 03:00:02 UTC 2023","7233","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Tue Nov 28 05:59:14 UTC 2023","Tue Nov 28 05:59:17 UTC 2023","2935","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Tue Nov 28 03:02:19 UTC 2023","Tue Nov 28 03:02:28 UTC 2023","8299","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Tue Nov 28 04:58:09 UTC 2023","Tue Nov 28 04:58:13 UTC 2023","3978","","6. Company Account","","","","5. Complete Screen and tilts",""
"skipped","Tue Nov 28 05:54:02 UTC 2023","Tue Nov 28 05:54:02 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Tue Nov 28 03:02:19 UTC 2023","Tue Nov 28 03:02:19 UTC 2023","196","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Tue Nov 28 04:57:11 UTC 2023","Tue Nov 28 04:57:30 UTC 2023","19244","","6. Company Account","","","","1. Validate login credentials",""
"skipped","Tue Nov 28 07:09:15 UTC 2023","Tue Nov 28 07:09:15 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Nov 28 06:10:32 UTC 2023","Tue Nov 28 06:10:39 UTC 2023","6809","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Tue Nov 28 04:27:58 UTC 2023","Tue Nov 28 04:28:33 UTC 2023","35741","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Nov 28 05:56:35 UTC 2023","Tue Nov 28 05:57:17 UTC 2023","42547","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"failed","Tue Nov 28 04:33:13 UTC 2023","Tue Nov 28 04:35:43 UTC 2023","150324","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Nov 28 04:28:33 UTC 2023","Tue Nov 28 04:28:43 UTC 2023","10021","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Tue Nov 28 05:59:30 UTC 2023","Tue Nov 28 05:59:40 UTC 2023","9766","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Tue Nov 28 04:28:43 UTC 2023","Tue Nov 28 04:29:01 UTC 2023","17977","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Nov 28 04:57:59 UTC 2023","Tue Nov 28 04:58:09 UTC 2023","10425","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Tue Nov 28 03:00:24 UTC 2023","Tue Nov 28 03:00:45 UTC 2023","20358","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"skipped","Tue Nov 28 05:54:02 UTC 2023","Tue Nov 28 05:54:02 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Tue Nov 28 06:08:42 UTC 2023","Tue Nov 28 06:08:44 UTC 2023","2370","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Tue Nov 28 03:00:52 UTC 2023","Tue Nov 28 03:01:00 UTC 2023","8472","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Tue Nov 28 04:29:13 UTC 2023","Tue Nov 28 04:29:15 UTC 2023","1680","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Nov 28 04:57:30 UTC 2023","Tue Nov 28 04:57:39 UTC 2023","8968","","6. Company Account","","","","2. Create a Company Account",""
